group,dataset,n,base_unreliable,flag_rate,precision,recall,fpr,rho_cheap_vs_crossseed,tp,fp,fn,tn
LIME,adult,200,0.8,0.87,0.9080459770114943,0.9875,0.4,0.8379829435992632,158,16,2,24
LIME,bank_marketing,200,0.415,0.49,0.7448979591836735,0.8795180722891566,0.21367521367521367,0.8081691491819132,73,25,10,92
LIME,ccdefault,200,0.85,0.96,0.8854166666666666,1.0,0.7333333333333333,0.8528743115325176,170,22,0,8
LIME,credit_g,200,0.645,0.54,0.8888888888888888,0.7441860465116279,0.16901408450704225,0.6613083477464269,96,12,33,59
LIME,electricity,200,0.515,0.675,0.7037037037037037,0.9223300970873787,0.41237113402061853,0.7528253508366403,95,40,8,57
Model-matched,adult,800,0.075,0.0475,0.3684210526315789,0.23333333333333334,0.032432432432432434,0.38469278772879295,14,24,46,716
Model-matched,bank_marketing,800,0.27125,0.19125,0.5163398692810458,0.3640552995391705,0.1269296740994854,0.5445847779384803,79,74,138,509
Model-matched,ccdefault,800,0.44,0.7425,0.5218855218855218,0.8806818181818182,0.6339285714285714,0.4136102687740428,310,284,42,164
Model-matched,credit_g,800,0.48125,0.03,0.7083333333333334,0.04415584415584416,0.016867469879518072,0.40481918875660755,17,7,368,408
Model-matched,electricity,800,0.09375,0.26375,0.1990521327014218,0.56,0.23310344827586207,0.5162110285213813,42,169,33,556
