group,omitted_dataset,n,base_unreliable,flag_rate,precision,recall,fpr,rho_cheap_vs_crossseed,tp,fp,fn,tn
LIME,adult,800,0.60625,0.66625,0.8142589118198874,0.8948453608247423,0.3142857142857143,0.7843815928019563,434,99,51,216
LIME,bank_marketing,800,0.7025,0.76125,0.8522167487684729,0.9234875444839857,0.37815126050420167,0.7768183192200709,519,90,43,148
LIME,ccdefault,800,0.59375,0.64375,0.8194174757281554,0.888421052631579,0.28615384615384615,0.7557064482562276,422,93,53,232
LIME,credit_g,800,0.645,0.74875,0.8280467445742905,0.9612403100775194,0.3626760563380282,0.8701839167365165,496,103,20,181
LIME,electricity,800,0.6775,0.715,0.8688811188811189,0.9169741697416974,0.29069767441860467,0.7971281645316489,497,75,45,183
Model-matched,adult,3200,0.3215625,0.306875,0.45621181262729127,0.43537414965986393,0.24596959926301243,0.3539790217957224,448,534,581,1637
Model-matched,bank_marketing,3200,0.2725,0.2709375,0.4417531718569781,0.43922018348623854,0.20790378006872853,0.36376019016574834,383,484,489,1844
Model-matched,ccdefault,3200,0.2303125,0.133125,0.3568075117370892,0.2062415196743555,0.11124644742184328,0.37513424174273574,152,274,585,2189
Model-matched,credit_g,3200,0.22,0.31125,0.4467871485943775,0.6321022727272727,0.22075320512820512,0.5055080517004712,445,551,259,1945
Model-matched,electricity,3200,0.316875,0.2528125,0.519159456118665,0.41420118343195267,0.1779505946935041,0.39712244945085046,420,389,594,1797
