delta,ds,model,seed,clean_acc,spur_acc,gen_gap,rel_share,rel_rank,sal_share,attr_rank,top5_frac
0.25,adult,mlp,0,0.8489,0.8447,0.0042,0.1001,3,0.0609,8,0.3
0.25,adult,mlp,1,0.8478,0.8462,0.0016,0.0987,4,0.0525,8,0.22
0.25,adult,mlp,2,0.8453,0.8451,0.0002,0.1018,3,0.0546,8,0.3
0.25,adult,mlp,3,0.8484,0.8451,0.0033,0.103,3,0.0599,7,0.34
0.25,adult,mlp,4,0.8507,0.8464,0.0042,0.1024,3,0.0546,8,0.31
0.25,credit_g,mlp,0,0.79,0.73,0.06,0.0949,3,0.095,2,0.55
0.25,credit_g,mlp,1,0.7833,0.76,0.0233,0.0991,3,0.0807,3,0.47
0.25,credit_g,mlp,2,0.7833,0.74,0.0433,0.0946,2,0.0786,3,0.43
0.25,credit_g,mlp,3,0.78,0.74,0.04,0.1332,1,0.1426,1,0.73
0.25,credit_g,mlp,4,0.78,0.7233,0.0567,0.0904,2,0.0903,2,0.5
0.25,bank_marketing,mlp,0,0.9062,0.9036,0.0027,0.0819,4,0.03,12,0.11
0.25,bank_marketing,mlp,1,0.9038,0.9009,0.0029,0.0853,4,0.0317,12,0.18
0.25,bank_marketing,mlp,2,0.9084,0.8993,0.0091,0.083,3,0.0213,15,0.1
0.25,bank_marketing,mlp,3,0.9058,0.9018,0.004,0.0813,4,0.0458,7,0.29
0.25,bank_marketing,mlp,4,0.9076,0.9029,0.0047,0.0803,4,0.0255,12,0.1
0.5,adult,mlp,0,0.8489,0.8333,0.0156,0.1827,1,0.158,2,0.82
0.5,adult,mlp,1,0.8478,0.8311,0.0167,0.1843,1,0.137,2,0.77
0.5,adult,mlp,2,0.8453,0.8298,0.0156,0.19,1,0.155,2,0.8
0.5,adult,mlp,3,0.8484,0.8289,0.0196,0.1933,1,0.1531,2,0.81
0.5,adult,mlp,4,0.8507,0.828,0.0227,0.1972,1,0.1459,2,0.78
0.5,credit_g,mlp,0,0.79,0.7933,-0.0033,0.1873,1,0.1742,1,0.79
0.5,credit_g,mlp,1,0.7833,0.77,0.0133,0.2014,1,0.175,1,0.78
0.5,credit_g,mlp,2,0.7833,0.7667,0.0167,0.1952,1,0.1669,1,0.79
0.5,credit_g,mlp,3,0.78,0.7767,0.0033,0.2067,1,0.2004,1,0.81
0.5,credit_g,mlp,4,0.78,0.7767,0.0033,0.2038,1,0.1865,1,0.78
0.5,bank_marketing,mlp,0,0.9062,0.8958,0.0104,0.1586,2,0.1351,2,0.71
0.5,bank_marketing,mlp,1,0.9038,0.8918,0.012,0.1631,2,0.1312,2,0.68
0.5,bank_marketing,mlp,2,0.9084,0.8951,0.0133,0.1708,2,0.1461,2,0.71
0.5,bank_marketing,mlp,3,0.9058,0.8953,0.0104,0.1584,2,0.1398,2,0.7
0.5,bank_marketing,mlp,4,0.9076,0.892,0.0156,0.1749,2,0.1386,3,0.7
1.0,adult,mlp,0,0.8489,0.7769,0.072,0.3297,1,0.2542,1,0.86
1.0,adult,mlp,1,0.8478,0.7758,0.072,0.3514,1,0.2393,1,0.82
1.0,adult,mlp,2,0.8453,0.7749,0.0704,0.3326,1,0.2482,1,0.84
1.0,adult,mlp,3,0.8484,0.7729,0.0756,0.3496,1,0.2443,1,0.85
1.0,adult,mlp,4,0.8507,0.776,0.0747,0.3383,1,0.2396,1,0.84
1.0,credit_g,mlp,0,0.79,0.7033,0.0867,0.3059,1,0.2905,1,0.87
1.0,credit_g,mlp,1,0.7833,0.69,0.0933,0.3324,1,0.2878,1,0.88
1.0,credit_g,mlp,2,0.7833,0.7033,0.08,0.3081,1,0.2739,1,0.88
1.0,credit_g,mlp,3,0.78,0.71,0.07,0.3007,1,0.2935,1,0.87
