delta,model,n,gen_gap,rel_rank,sal_share,attr_rank,top5_frac
0.25,logreg,25,0.011,3.0,0.114,3.4,0.696
0.25,rf,25,0.004,4.52,0.088,4.36,0.598
0.25,hgb,25,0.009,3.4,0.094,3.64,0.596
0.25,mlp,25,0.015,2.96,0.085,5.4,0.496
0.5,logreg,25,0.023,1.4,0.226,1.4,0.852
0.5,rf,25,0.013,1.64,0.218,1.84,0.912
0.5,hgb,25,0.023,1.72,0.216,1.8,0.878
0.5,mlp,25,0.023,1.4,0.186,1.64,0.824
1.0,logreg,25,0.084,1.0,0.41,1.0,0.938
1.0,rf,25,0.073,1.0,0.385,1.0,0.973
1.0,hgb,25,0.088,1.0,0.424,1.0,0.95
1.0,mlp,25,0.086,1.0,0.324,1.0,0.88
1.5,logreg,25,0.126,1.0,0.529,1.0,0.948
1.5,rf,25,0.121,1.0,0.482,1.0,0.973
1.5,hgb,25,0.142,1.0,0.605,1.0,0.96
1.5,mlp,25,0.121,1.0,0.408,1.0,0.922
