delta,ds,model,seed,clean_acc,spur_acc,gen_gap,rel_share,rel_rank,sal_share,attr_rank,top5_frac
0.25,adult,logreg,0,0.8436,0.8364,0.0071,0.1216,3,0.0729,5,0.51
0.25,adult,logreg,1,0.8436,0.8364,0.0071,0.1181,3,0.0729,5,0.51
0.25,adult,logreg,2,0.8436,0.8364,0.0071,0.1171,3,0.0729,5,0.51
0.25,adult,logreg,3,0.8436,0.8364,0.0071,0.1185,3,0.0729,5,0.51
0.25,adult,logreg,4,0.8436,0.8364,0.0071,0.12,3,0.0729,5,0.51
0.25,credit_g,logreg,0,0.78,0.75,0.03,0.0924,3,0.0705,3,0.59
0.25,credit_g,logreg,1,0.78,0.75,0.03,0.0964,2,0.0705,3,0.59
0.25,credit_g,logreg,2,0.78,0.75,0.03,0.1002,2,0.0705,3,0.59
0.25,credit_g,logreg,3,0.78,0.75,0.03,0.1036,2,0.0705,3,0.59
0.25,credit_g,logreg,4,0.78,0.75,0.03,0.0961,2,0.0705,3,0.59
0.25,bank_marketing,logreg,0,0.9022,0.9009,0.0013,0.1264,2,0.0879,3,0.65
0.25,bank_marketing,logreg,1,0.9022,0.9009,0.0013,0.1211,2,0.0879,3,0.65
0.25,bank_marketing,logreg,2,0.9022,0.9009,0.0013,0.1251,2,0.0879,3,0.65
0.25,bank_marketing,logreg,3,0.9022,0.9009,0.0013,0.1228,2,0.0879,3,0.65
0.25,bank_marketing,logreg,4,0.9022,0.9009,0.0013,0.1243,2,0.0879,3,0.65
0.5,adult,logreg,0,0.8436,0.8238,0.0198,0.2172,1,0.1533,1,0.83
0.5,adult,logreg,1,0.8436,0.8238,0.0198,0.2196,1,0.1533,1,0.83
0.5,adult,logreg,2,0.8436,0.8238,0.0198,0.2155,1,0.1533,1,0.83
0.5,adult,logreg,3,0.8436,0.8238,0.0198,0.2155,1,0.1533,1,0.83
0.5,adult,logreg,4,0.8436,0.8238,0.0198,0.2258,1,0.1533,1,0.83
0.5,credit_g,logreg,0,0.78,0.79,-0.01,0.1939,1,0.1385,1,0.79
0.5,credit_g,logreg,1,0.78,0.79,-0.01,0.1895,1,0.1385,1,0.79
0.5,credit_g,logreg,2,0.78,0.79,-0.01,0.1998,1,0.1385,1,0.79
0.5,credit_g,logreg,3,0.78,0.79,-0.01,0.1901,1,0.1385,1,0.79
0.5,credit_g,logreg,4,0.78,0.79,-0.01,0.196,1,0.1385,1,0.79
0.5,bank_marketing,logreg,0,0.9022,0.892,0.0102,0.2278,2,0.1829,1,0.8
0.5,bank_marketing,logreg,1,0.9022,0.892,0.0102,0.2238,2,0.1829,1,0.8
0.5,bank_marketing,logreg,2,0.9022,0.892,0.0102,0.2286,2,0.1829,1,0.8
0.5,bank_marketing,logreg,3,0.9022,0.892,0.0102,0.229,2,0.1829,1,0.8
0.5,bank_marketing,logreg,4,0.9022,0.892,0.0102,0.2344,2,0.1829,1,0.8
1.0,adult,logreg,0,0.8436,0.7618,0.0818,0.3919,1,0.2798,1,0.92
1.0,adult,logreg,1,0.8436,0.7618,0.0818,0.4127,1,0.2798,1,0.92
1.0,adult,logreg,2,0.8436,0.7618,0.0818,0.3886,1,0.2798,1,0.92
1.0,adult,logreg,3,0.8436,0.7618,0.0818,0.402,1,0.2798,1,0.92
1.0,adult,logreg,4,0.8436,0.7618,0.0818,0.4003,1,0.2798,1,0.92
1.0,credit_g,logreg,0,0.78,0.7033,0.0767,0.3579,1,0.2891,1,0.91
1.0,credit_g,logreg,1,0.78,0.7033,0.0767,0.3813,1,0.2891,1,0.91
1.0,credit_g,logreg,2,0.78,0.7033,0.0767,0.3713,1,0.2891,1,0.91
1.0,credit_g,logreg,3,0.78,0.7033,0.0767,0.3625,1,0.2891,1,0.91
1.0,credit_g,logreg,4,0.78,0.7033,0.0767,0.3737,1,0.2891,1,0.91
1.0,bank_marketing,logreg,0,0.9022,0.8673,0.0349,0.4044,1,0.3063,1,0.91
1.0,bank_marketing,logreg,1,0.9022,0.8673,0.0349,0.4029,1,0.3063,1,0.91
1.0,bank_marketing,logreg,2,0.9022,0.8673,0.0349,0.4066,1,0.3063,1,0.91
1.0,bank_marketing,logreg,3,0.9022,0.8673,0.0349,0.396,1,0.3063,1,0.91
1.0,bank_marketing,logreg,4,0.9022,0.8673,0.0349,0.4096,1,0.3063,1,0.91
1.5,adult,logreg,0,0.8436,0.722,0.1216,0.5576,1,0.379,1,0.97
1.5,adult,logreg,1,0.8436,0.722,0.1216,0.5574,1,0.379,1,0.97
1.5,adult,logreg,2,0.8436,0.722,0.1216,0.5598,1,0.379,1,0.97
1.5,adult,logreg,3,0.8436,0.722,0.1216,0.5586,1,0.379,1,0.97
1.5,adult,logreg,4,0.8436,0.722,0.1216,0.5621,1,0.379,1,0.97
1.5,credit_g,logreg,0,0.78,0.65,0.13,0.5606,1,0.4233,1,0.92
1.5,credit_g,logreg,1,0.78,0.65,0.13,0.533,1,0.4233,1,0.92
1.5,credit_g,logreg,2,0.78,0.65,0.13,0.539,1,0.4233,1,0.92
1.5,credit_g,logreg,3,0.78,0.65,0.13,0.5481,1,0.4233,1,0.92
1.5,credit_g,logreg,4,0.78,0.65,0.13,0.5565,1,0.4233,1,0.92
1.5,bank_marketing,logreg,0,0.9022,0.8413,0.0609,0.5268,1,0.3872,1,0.92
1.5,bank_marketing,logreg,1,0.9022,0.8413,0.0609,0.5225,1,0.3872,1,0.92
1.5,bank_marketing,logreg,2,0.9022,0.8413,0.0609,0.5347,1,0.3872,1,0.92
1.5,bank_marketing,logreg,3,0.9022,0.8413,0.0609,0.5329,1,0.3872,1,0.92
1.5,bank_marketing,logreg,4,0.9022,0.8413,0.0609,0.5255,1,0.3872,1,0.92
