delta,ds,model,seed,clean_acc,spur_acc,gen_gap,rel_share,rel_rank,sal_share,attr_rank,top5_frac
0.25,adult,rf,0,0.8469,0.8431,0.0038,0.0618,8,0.0513,8,0.28
0.25,adult,rf,1,0.8473,0.8418,0.0056,0.0679,6,0.0586,7,0.4
0.25,adult,rf,2,0.8469,0.8431,0.0038,0.0546,8,0.0465,10,0.24
0.25,adult,rf,3,0.8453,0.8431,0.0022,0.0693,7,0.0573,7,0.34
0.25,adult,rf,4,0.8469,0.844,0.0029,0.0685,7,0.0571,7,0.38
0.25,adult,hgb,0,0.8629,0.8598,0.0031,0.1069,4,0.0744,5,0.55
0.25,adult,hgb,1,0.8653,0.8569,0.0084,0.1004,5,0.0644,6,0.39
0.25,adult,hgb,2,0.8631,0.8587,0.0044,0.1075,4,0.0746,5,0.54
0.25,adult,hgb,3,0.8662,0.858,0.0082,0.0949,6,0.0664,5,0.43
0.25,adult,hgb,4,0.8678,0.8564,0.0113,0.0977,5,0.0745,5,0.53
0.25,credit_g,rf,0,0.7533,0.7433,0.01,0.0864,2,0.0853,2,0.64
0.25,credit_g,rf,1,0.7567,0.7567,0.0,0.1012,2,0.1028,2,0.77
0.25,credit_g,rf,2,0.7467,0.74,0.0067,0.0909,3,0.0953,2,0.72
0.25,credit_g,rf,3,0.7367,0.75,-0.0133,0.0982,3,0.0959,2,0.67
0.25,credit_g,rf,4,0.7567,0.7333,0.0233,0.0886,2,0.0952,2,0.67
0.25,credit_g,hgb,0,0.75,0.71,0.04,0.1464,2,0.1388,2,0.83
0.25,credit_g,hgb,1,0.7833,0.75,0.0333,0.1279,3,0.1131,2,0.64
0.25,credit_g,hgb,2,0.7633,0.74,0.0233,0.1154,2,0.1052,2,0.64
0.25,credit_g,hgb,3,0.7567,0.74,0.0167,0.1385,3,0.1274,2,0.73
0.25,credit_g,hgb,4,0.7633,0.7333,0.03,0.1136,3,0.0982,3,0.66
0.25,bank_marketing,rf,0,0.9,0.9009,-0.0009,0.0712,6,0.0689,5,0.54
0.25,bank_marketing,rf,1,0.8982,0.8998,-0.0016,0.0619,6,0.0636,6,0.52
0.25,bank_marketing,rf,2,0.8987,0.9,-0.0013,0.075,6,0.0723,5,0.55
0.25,bank_marketing,rf,3,0.8993,0.9,-0.0007,0.0704,6,0.0744,5,0.62
0.25,bank_marketing,rf,4,0.8989,0.9016,-0.0027,0.0677,6,0.0717,6,0.56
0.25,bank_marketing,hgb,0,0.904,0.9022,0.0018,0.0917,4,0.0478,6,0.26
