ds,model,method,inst,conf,instab_seed,top5_seed
adult,logreg,linshap,0,0.8018181249781822,0.0,1.0
adult,logreg,linshap,1,0.9941171874016712,2.220446049250313e-16,1.0
adult,logreg,linshap,2,0.9964646704499497,0.0,1.0
adult,logreg,linshap,3,0.7556207401238402,0.0,1.0
adult,logreg,linshap,4,0.9936618706682314,2.220446049250313e-16,1.0
adult,logreg,linshap,5,0.7984552745033698,-2.220446049250313e-16,1.0
adult,logreg,linshap,6,0.9055409897872984,-2.220446049250313e-16,1.0
adult,logreg,linshap,7,0.5140322091627163,0.0,1.0
adult,logreg,linshap,8,0.8115478948912866,0.0,1.0
adult,logreg,linshap,9,0.605727753260081,0.0,1.0
adult,logreg,linshap,10,0.5544792546979649,0.0,1.0
adult,logreg,linshap,11,0.9990817167704906,2.220446049250313e-16,1.0
adult,logreg,linshap,12,0.9471086013611615,0.0,1.0
adult,logreg,linshap,13,0.7644126213010478,0.0,1.0
adult,logreg,linshap,14,0.6277666272790212,2.220446049250313e-16,1.0
adult,logreg,linshap,15,0.7641553938194022,0.0,1.0
adult,logreg,linshap,16,0.9981347152735655,0.0,1.0
adult,logreg,linshap,17,0.9563143015575104,0.0,1.0
adult,logreg,linshap,18,0.9950094993894216,0.0,1.0
adult,logreg,linshap,19,0.9848288481840892,2.220446049250313e-16,1.0
adult,logreg,linshap,20,0.9899638153199882,0.0,1.0
adult,logreg,linshap,21,0.986978995162002,-2.220446049250313e-16,1.0
adult,logreg,linshap,22,0.9766194579869083,-2.220446049250313e-16,1.0
adult,logreg,linshap,23,0.9639800760495397,0.0,1.0
adult,logreg,linshap,24,0.7765088450674074,0.0,1.0
adult,logreg,linshap,25,0.9898857111932147,0.0,1.0
adult,logreg,linshap,26,0.7979544329230961,0.0,1.0
adult,logreg,linshap,27,0.8063742797674571,-2.220446049250313e-16,1.0
adult,logreg,linshap,28,0.9807152917651145,2.220446049250313e-16,1.0
adult,logreg,linshap,29,0.989995388692298,0.0,1.0
adult,logreg,linshap,30,0.9045477747090225,0.0,1.0
adult,logreg,linshap,31,0.9415662190415258,0.0,1.0
adult,logreg,linshap,32,0.947812048220895,2.220446049250313e-16,1.0
adult,logreg,linshap,33,0.8483884274822756,0.0,1.0
adult,logreg,linshap,34,0.9471010282709946,0.0,1.0
adult,logreg,linshap,35,0.9621383744901882,-2.220446049250313e-16,1.0
adult,logreg,linshap,36,0.9680980476783858,-2.220446049250313e-16,1.0
adult,logreg,linshap,37,0.7902738024444851,2.220446049250313e-16,1.0
adult,logreg,linshap,38,0.69849463168924,0.0,1.0
adult,logreg,linshap,39,0.9492030701785434,-2.220446049250313e-16,1.0
adult,logreg,linshap,40,0.7089609696879311,-2.220446049250313e-16,1.0
adult,logreg,linshap,41,0.984188413149058,0.0,1.0
adult,logreg,linshap,42,0.6130072217006349,0.0,1.0
adult,logreg,linshap,43,0.9790647841047025,0.0,1.0
adult,logreg,linshap,44,0.97647557543311,0.0,1.0
adult,logreg,linshap,45,0.9728864720594828,0.0,1.0
adult,logreg,linshap,46,0.9921924873792616,-2.220446049250313e-16,1.0
adult,logreg,linshap,47,0.924790637873499,2.220446049250313e-16,1.0
adult,logreg,linshap,48,0.9343344392881436,0.0,1.0
adult,logreg,linshap,49,0.6679617003281997,0.0,1.0
adult,logreg,linshap,50,0.7313845491567147,-2.220446049250313e-16,1.0
adult,logreg,linshap,51,0.7228662434369708,0.0,1.0
adult,logreg,linshap,52,0.7951621953732693,2.220446049250313e-16,1.0
adult,logreg,linshap,53,0.9043582706966407,0.0,1.0
adult,logreg,linshap,54,0.67474786945131,2.220446049250313e-16,1.0
adult,logreg,linshap,55,0.9233793484865307,2.220446049250313e-16,1.0
adult,logreg,linshap,56,0.7083643507608841,0.0,1.0
adult,logreg,linshap,57,0.9329311497496372,-2.220446049250313e-16,1.0
adult,logreg,linshap,58,0.9950939071693072,0.0,1.0
adult,logreg,linshap,59,0.9985903709001448,0.0,1.0
adult,logreg,linshap,60,0.9943236464076521,2.220446049250313e-16,1.0
adult,logreg,linshap,61,0.9990701110161965,0.0,1.0
adult,logreg,linshap,62,0.5068164614201217,-2.220446049250313e-16,1.0
adult,logreg,linshap,63,0.9693518650796429,-2.220446049250313e-16,1.0
adult,logreg,linshap,64,0.9414695174950124,0.0,1.0
adult,logreg,linshap,65,0.9999999999999488,2.220446049250313e-16,1.0
adult,logreg,linshap,66,0.9854789128546779,0.0,1.0
adult,logreg,linshap,67,0.5882172744369767,2.220446049250313e-16,1.0
adult,logreg,linshap,68,0.9917348950578513,0.0,1.0
adult,logreg,linshap,69,0.7308247001643806,0.0,1.0
adult,logreg,linshap,70,0.9951750455767974,-2.220446049250313e-16,1.0
adult,logreg,linshap,71,0.9340432468303778,-2.220446049250313e-16,1.0
adult,logreg,linshap,72,0.9873327253111913,2.220446049250313e-16,1.0
adult,logreg,linshap,73,0.8784191339281111,2.220446049250313e-16,1.0
adult,logreg,linshap,74,0.9005273716945219,0.0,1.0
adult,logreg,linshap,75,0.9902195007005027,-2.220446049250313e-16,1.0
adult,logreg,linshap,76,0.9929565108106674,2.220446049250313e-16,1.0
adult,logreg,linshap,77,0.7990598682276433,-2.220446049250313e-16,1.0
adult,logreg,linshap,78,0.6730782239064608,2.220446049250313e-16,1.0
adult,logreg,linshap,79,0.9963584214075081,-2.220446049250313e-16,1.0
adult,logreg,linshap,80,0.5279732062664932,0.0,1.0
adult,logreg,linshap,81,0.8267578310183337,-2.220446049250313e-16,1.0
adult,logreg,linshap,82,0.9731399091763405,2.220446049250313e-16,1.0
adult,logreg,linshap,83,0.9949693963717641,0.0,1.0
adult,logreg,linshap,84,0.9962996577402284,0.0,1.0
adult,logreg,linshap,85,0.976811751922126,-2.220446049250313e-16,1.0
adult,logreg,linshap,86,0.9793869260637251,-2.220446049250313e-16,1.0
adult,logreg,linshap,87,0.9682841518878773,0.0,1.0
adult,logreg,linshap,88,0.6647648167593248,0.0,1.0
adult,logreg,linshap,89,0.8223861173402296,0.0,1.0
adult,logreg,linshap,90,0.991547228626229,0.0,1.0
adult,logreg,linshap,91,0.8331314442762942,-2.220446049250313e-16,1.0
adult,logreg,linshap,92,0.9210310344144151,0.0,1.0
adult,logreg,linshap,93,0.6459535609992053,-2.220446049250313e-16,1.0
adult,logreg,linshap,94,0.9999999999999687,-2.220446049250313e-16,1.0
adult,logreg,linshap,95,0.9965617398543605,0.0,1.0
adult,logreg,linshap,96,0.9403866026092091,2.220446049250313e-16,1.0
adult,logreg,linshap,97,0.9898525577353675,-2.220446049250313e-16,1.0
adult,logreg,linshap,98,0.562832596143404,0.0,1.0
adult,logreg,linshap,99,0.8752238582520249,0.0,1.0
adult,logreg,linshap,100,0.5333182075607238,0.0,1.0
adult,logreg,linshap,101,0.9810496674387214,2.220446049250313e-16,1.0
adult,logreg,linshap,102,0.7967525223225701,-2.220446049250313e-16,1.0
adult,logreg,linshap,103,0.9832636559304108,2.220446049250313e-16,1.0
adult,logreg,linshap,104,0.9547855780433047,2.220446049250313e-16,1.0
adult,logreg,linshap,105,0.9930392859969203,0.0,1.0
adult,logreg,linshap,106,0.7224691693263101,0.0,1.0
adult,logreg,linshap,107,0.9637080409080772,0.0,1.0
adult,logreg,linshap,108,0.6289873922856604,0.0,1.0
adult,logreg,linshap,109,0.6372371121274376,0.0,1.0
adult,logreg,linshap,110,0.5328824275458925,0.0,1.0
adult,logreg,linshap,111,0.99175440027638,-2.220446049250313e-16,1.0
adult,logreg,linshap,112,0.9652083387133497,-2.220446049250313e-16,1.0
adult,logreg,linshap,113,0.9974931232004016,2.220446049250313e-16,1.0
adult,logreg,linshap,114,0.9963993957380367,0.0,1.0
adult,logreg,linshap,115,0.5628541033187183,0.0,1.0
adult,logreg,linshap,116,0.842733171439124,0.0,1.0
adult,logreg,linshap,117,0.9451067869631565,0.0,1.0
adult,logreg,linshap,118,0.9783944112235933,0.0,1.0
adult,logreg,linshap,119,0.9869155955656629,0.0,1.0
adult,logreg,linshap,120,0.9990306197324804,0.0,1.0
adult,logreg,linshap,121,0.9845966384110947,-2.220446049250313e-16,1.0
adult,logreg,linshap,122,0.9780655675098056,0.0,1.0
adult,logreg,linshap,123,0.7205967566178688,2.220446049250313e-16,1.0
adult,logreg,linshap,124,0.9715153482398765,2.220446049250313e-16,1.0
adult,logreg,linshap,125,0.9820137442130058,0.0,1.0
adult,logreg,linshap,126,0.7120907458450787,0.0,1.0
adult,logreg,linshap,127,0.986736387309788,0.0,1.0
adult,logreg,linshap,128,0.9622039573656892,0.0,1.0
