ds,model,method,sigma,top3_mean,top3_std,top5_mean,top5_std,spearman_mean,spearman_std,cosine_mean,cosine_std,sign5_mean,sign5_std
adult,hgb,lime,0.0,0.6480159999999999,0.019091461245803052,0.6396,0.022908513701242177,0.5156478,0.04604628329952373,0.8390108,0.020722920503635542,0.7752,0.027444489428663097
adult,hgb,lime,0.01,0.6385550433380367,0.027601054759489495,0.6339695625881878,0.016564836743113737,0.22689084898877915,0.05038935022578871,0.07287392981925687,0.05829559149319178,0.6214494725525768,0.03855363836400788
adult,hgb,lime,0.05,0.6412732155164822,0.03323828507433827,0.6360270700072292,0.016384569440846507,0.2226422927079521,0.0352783429908355,0.0966311668141522,0.04509755204194263,0.6193133883086384,0.01673023833656951
adult,hgb,lime,0.1,0.6367882197322379,0.029175794333627218,0.6325718868032922,0.014467102853974923,0.23591423721004684,0.035366891689798084,0.11884405467048118,0.019228968127043274,0.6290332013242288,0.02364554885049997
adult,hgb,lime,0.25,0.6377027072117654,0.02806530713768443,0.6321337879740915,0.012762037362933487,0.19173020038123734,0.05111408379141797,0.05092267171592596,0.03070043315586684,0.6045441628516726,0.03521794693600908
adult,hgb,lime,0.5,0.6313183773463191,0.0327467415833289,0.6294162183805346,0.021163307345706532,0.21814265150093984,0.058110426726497584,0.1537796427774338,0.049057270862872975,0.6182250538499469,0.04025542082325728
adult,hgb,treeshap,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
adult,hgb,treeshap,0.01,0.9443672218245958,0.007019088032786852,0.9815182483081344,0.003398938020749777,0.9924213800958441,0.002550602437639115,0.9789386242871909,0.008260602224297284,0.9992158989302654,0.0005189521240609798
adult,hgb,treeshap,0.05,0.8689590042239163,0.009041227817910434,0.9462279048393165,0.0061422719031978155,0.9684988577028116,0.0074003645679557774,0.9488745509418761,0.01698554425452378,0.9952570631431884,0.0017551320294472124
adult,hgb,treeshap,0.1,0.850520614581052,0.005692438498114676,0.9256868950023577,0.009372439760043021,0.9494848992436905,0.013009753143962324,0.9410805135904343,0.018488314867649947,0.9908829987952151,0.003555243392183881
adult,hgb,treeshap,0.25,0.7790877851089967,0.009905822686282506,0.8614614596789029,0.011022284926178192,0.9016529259398641,0.01748933723800614,0.9028852732668657,0.022828019211625146,0.9746185242281215,0.004463576064200625
adult,hgb,treeshap,0.5,0.7172830728384906,0.012050295510528079,0.8009283377674509,0.015867251632266672,0.8162094883116389,0.020284390858224782,0.8273656556548513,0.014057487006196334,0.9379909256025369,0.008522844287350883
adult,logreg,lime,0.0,0.6793473999999999,0.01706432630665502,0.712,0.026720778431774776,0.6649494,0.04767442837412946,0.7860737999999999,0.0444043346498965,0.8475999999999999,0.031221787264665023
adult,logreg,lime,0.01,0.67388056,0.02173844034258211,0.6952,0.01326649916142164,0.34011472,0.03158423666881945,0.16034895999999998,0.043610766788581,0.67104,0.01882466467164823
adult,logreg,lime,0.05,0.6843493633124063,0.021967600653681706,0.7056742326350925,0.009694277123143894,0.34419226350438586,0.04569786738221692,0.17780795287615953,0.057545810638601015,0.6710423905873321,0.022061405722778343
adult,logreg,lime,0.1,0.6747258176482867,0.023223600197445973,0.6981597855441618,0.013623255504606217,0.34780850256189966,0.03197264469445363,0.1995662252287195,0.027767061046232458,0.6762189255913559,0.023902251357403502
adult,logreg,lime,0.25,0.6857349843346159,0.019829051915782846,0.6972320293418746,0.012555707836892646,0.3231435549200802,0.03258598170291845,0.14462275238311711,0.02501933048071646,0.6668691132755115,0.02040099095887427
adult,logreg,lime,0.5,0.6814422106356259,0.021963225364114054,0.6881959711146733,0.010303151051328997,0.3419172526014154,0.03189701700061706,0.2251309800873414,0.048958091642690195,0.6770059542731661,0.018887075109324487
adult,logreg,linshap,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
adult,logreg,linshap,0.01,0.9785159273973157,0.0019607126454869793,0.9853414805575937,0.0006316268705460818,0.9986278602869618,5.378408937328716e-05,0.9998524107461535,8.031346405501045e-06,1.0,0.0
adult,logreg,linshap,0.05,0.9329542978050501,0.005074464958425236,0.9445776446524146,0.0029506849840206183,0.9922498665860008,0.0002795485697683451,0.9961914328065792,9.192640103632753e-05,0.9991460488053893,0.0005639955833662564
adult,logreg,linshap,0.1,0.8999067199503218,0.0032836301016745018,0.9246841202061071,0.002067759726659578,0.9713046792465461,0.001629531326166438,0.9860002590532776,0.0008082366371908333,0.9869582486490238,0.0012889968968269846
adult,logreg,linshap,0.25,0.8361820389488892,0.0019132032297451088,0.9001927246170031,0.004136550184252753,0.903992737201464,0.0041699244335083,0.9311822957775956,0.0027353431794250953,0.9572561947572327,0.002636233133320506
adult,logreg,linshap,0.5,0.7636185705675145,0.005019175323287201,0.86326428160579,0.002162170531671068,0.8326098331235412,0.0016674915792431917,0.8262212207377161,0.004858867606812558,0.9390208575614805,0.002606974068157495
adult,mlp,ig,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
adult,mlp,ig,0.01,0.9927102482315963,0.002357597083868052,0.9888029516594627,0.0021377851543026875,0.9982059191309027,0.0002968649298156224,0.9998660268257995,9.104323175361089e-06,1.0,0.0
adult,mlp,ig,0.05,0.9643285479999715,0.006475457575339621,0.9519637482314861,0.0027803382341186123,0.9898020698331977,0.0012517709356758971,0.9970266534186563,0.00015614683769923037,0.9999191510657639,0.00011070698613458833
adult,mlp,ig,0.1,0.9306751493370846,0.008077437861563985,0.923092421440276,0.0035924076631285965,0.9702928480428168,0.0018390172060814322,0.9891397930865221,0.0004014113672502153,0.9950398337309485,0.0013153010666670374
adult,mlp,ig,0.25,0.8424401088361044,0.008754454318442316,0.8725734728408756,0.00877566630291009,0.9018242319877556,0.005881858805764087,0.9424555083577617,0.0036793909534351297,0.9762918850940174,0.0026061010234345763
adult,mlp,ig,0.5,0.717332711209116,0.01586120732041745,0.8095141671745733,0.015136929417450238,0.8119499131952237,0.01055188985608304,0.8376912715605431,0.007488099880988723,0.9539953374487766,0.003968923593608133
adult,mlp,lime,0.0,0.7133512,0.022236244201753148,0.714,0.043174066289845846,0.779463,0.05165818091551423,0.8351518,0.056097974662192594,0.9259999999999999,0.03159113799786263
adult,mlp,lime,0.01,0.7080176,0.02059115669019106,0.71072,0.046003825927850836,0.48310928,0.054724944475001494,0.34146688000000003,0.07393051099263416,0.77936,0.03007936169535517
