model,method,sigma,top3_mean,top3_std,top5_mean,top5_std,spearman_mean,spearman_std,cosine_mean,cosine_std,sign5_mean,sign5_std
hgb,lime,0.0,0.74361244,0.1011772077166592,0.71544,0.09486397278911174,0.68943752,0.11431851159666433,0.88170828,0.03399719643652002,0.89176,0.06789040187439364
hgb,lime,0.01,0.7216915621266353,0.11495445099064186,0.702750141062333,0.10633061867037158,0.5790027617475745,0.21280242751169426,0.6437037651163315,0.32909130754553967,0.8377868222228477,0.11982427444936432
hgb,lime,0.05,0.7155218018707263,0.11472051358692875,0.6994129266128928,0.10666353535895126,0.5564600664252304,0.20668026882938023,0.6345624919267525,0.3162254960532107,0.8269471936331898,0.11965774981174881
hgb,lime,0.1,0.7079495799139112,0.11984369589331399,0.693378067829667,0.11233036556713842,0.539848175130405,0.19816802747775447,0.6309579889585769,0.30245295223616947,0.8170295392727682,0.11738621870548634
hgb,lime,0.25,0.7001348262232082,0.11464415377890735,0.6874459623254981,0.11362973438657617,0.503222572839381,0.21147656982042812,0.6017518211253503,0.32109750296625816,0.7976189617518279,0.12731523764674876
hgb,lime,0.5,0.6892994210246421,0.11492567972070765,0.6826852579210254,0.11491490374815011,0.4674344552763438,0.20685717493981362,0.5724932729213714,0.28057482604329564,0.7803825934077377,0.12527388117718952
hgb,treeshap,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
hgb,treeshap,0.01,0.9367792719789365,0.03855832385291942,0.9456881572810921,0.04285364162609888,0.9599458611032279,0.03906726344188387,0.9754207225223291,0.020852661661824787,0.9869514479464719,0.01562551333183131
hgb,treeshap,0.05,0.8667466141914442,0.0574231029121891,0.887658334593887,0.06746364825274055,0.8974379810997583,0.08671927029790963,0.9380559992353977,0.04496804745211606,0.9640277152794292,0.03881644596446112
hgb,treeshap,0.1,0.8245382371313603,0.06818986279892472,0.8525203161602856,0.07709512259406613,0.8468252246547553,0.11809373893732097,0.9087194916862791,0.06212380149546443,0.9442245481182261,0.054053730917133155
hgb,treeshap,0.25,0.7498425604362099,0.07225971416148869,0.7905032252053732,0.0825539338322198,0.7538436422087602,0.15784346702539462,0.8350288660936315,0.09090587412841823,0.9041335456087556,0.07261373106374248
hgb,treeshap,0.5,0.6844580953151177,0.08409637976178562,0.7362682040308585,0.09026796068053475,0.648773265762278,0.1861138663027907,0.7240103298530627,0.13521467825068167,0.8545393588822175,0.08979268157716325
logreg,lime,0.0,0.7348154,0.051731200632854656,0.7672800000000001,0.0677935100138649,0.7700716,0.10513552998550647,0.86255404,0.084855217909429,0.9244,0.05530220007679021
logreg,lime,0.01,0.715747904,0.06653503571114798,0.754816,0.0794541779895809,0.654562368,0.1889725554971028,0.681339136,0.2848935331577203,0.8682560000000001,0.10982694751289411
logreg,lime,0.05,0.7143989806655648,0.0650948526370803,0.754821774601733,0.0800254419764776,0.6473857862391473,0.1868052156862869,0.6767784198724006,0.27479183292912035,0.8647928298845139,0.1103193440853319
