ds,model,sigma,flip_rate
adult,hgb,0.0,0.0
adult,hgb,0.01,0.02739999999999998
adult,hgb,0.05,0.05500000000000005
adult,hgb,0.1,0.05900000000000005
adult,hgb,0.25,0.09060000000000001
adult,hgb,0.5,0.12460000000000004
adult,logreg,0.0,0.0
adult,logreg,0.01,0.0040000000000000036
adult,logreg,0.05,0.015599999999999947
adult,logreg,0.1,0.025000000000000022
adult,logreg,0.25,0.060799999999999965
adult,logreg,0.5,0.10740000000000005
adult,mlp,0.0,0.0
adult,mlp,0.01,0.0031999999999999806
adult,mlp,0.05,0.011600000000000055
adult,mlp,0.1,0.0242
adult,mlp,0.25,0.051000000000000045
adult,mlp,0.5,0.09719999999999995
adult,rf,0.0,0.0
adult,rf,0.01,0.0
adult,rf,0.05,0.0030000000000000027
adult,rf,0.1,0.008000000000000007
adult,rf,0.25,0.022399999999999975
adult,rf,0.5,0.05800000000000005
bank_marketing,hgb,0.0,0.0
bank_marketing,hgb,0.01,0.0021999999999999797
bank_marketing,hgb,0.05,0.008000000000000007
bank_marketing,hgb,0.1,0.016800000000000037
bank_marketing,hgb,0.25,0.02939999999999998
bank_marketing,hgb,0.5,0.04259999999999997
bank_marketing,logreg,0.0,0.0
bank_marketing,logreg,0.01,0.0
bank_marketing,logreg,0.05,0.0016000000000000458
bank_marketing,logreg,0.1,0.0018000000000000238
bank_marketing,logreg,0.25,0.0036000000000000476
bank_marketing,logreg,0.5,0.010800000000000032
bank_marketing,mlp,0.0,0.0
bank_marketing,mlp,0.01,0.00019999999999997797
bank_marketing,mlp,0.05,0.0030000000000000027
bank_marketing,mlp,0.1,0.0040000000000000036
bank_marketing,mlp,0.25,0.014800000000000035
bank_marketing,mlp,0.5,0.026000000000000023
bank_marketing,rf,0.0,0.0
bank_marketing,rf,0.01,0.0
bank_marketing,rf,0.05,0.0
bank_marketing,rf,0.1,0.0011999999999999789
bank_marketing,rf,0.25,0.0013999999999999568
bank_marketing,rf,0.5,0.0030000000000000027
ccdefault,hgb,0.0,0.0
ccdefault,hgb,0.01,0.02100000000000002
ccdefault,hgb,0.05,0.022199999999999998
ccdefault,hgb,0.1,0.02639999999999998
ccdefault,hgb,0.25,0.043399999999999994
ccdefault,hgb,0.5,0.07640000000000002
ccdefault,logreg,0.0,0.0
ccdefault,logreg,0.01,0.0
ccdefault,logreg,0.05,0.0041999999999999815
ccdefault,logreg,0.1,0.010199999999999987
ccdefault,logreg,0.25,0.03280000000000005
ccdefault,logreg,0.5,0.05779999999999996
ccdefault,mlp,0.0,0.0
ccdefault,mlp,0.01,0.0
ccdefault,mlp,0.05,0.0050000000000000044
ccdefault,mlp,0.1,0.010199999999999987
ccdefault,mlp,0.25,0.023800000000000043
ccdefault,mlp,0.5,0.05159999999999998
ccdefault,rf,0.0,0.0
ccdefault,rf,0.01,0.013000000000000012
ccdefault,rf,0.05,0.02059999999999995
ccdefault,rf,0.1,0.022599999999999953
ccdefault,rf,0.25,0.04139999999999999
ccdefault,rf,0.5,0.06120000000000003
credit_g,hgb,0.0,0.0
credit_g,hgb,0.01,0.0011999999999999789
credit_g,hgb,0.05,0.014599999999999946
credit_g,hgb,0.1,0.027200000000000002
credit_g,hgb,0.25,0.05259999999999998
credit_g,hgb,0.5,0.08499999999999996
credit_g,logreg,0.0,0.0
credit_g,logreg,0.01,0.0008000000000000229
credit_g,logreg,0.05,0.00539999999999996
credit_g,logreg,0.1,0.00880000000000003
credit_g,logreg,0.25,0.02180000000000004
credit_g,logreg,0.5,0.04700000000000004
credit_g,mlp,0.0,0.0
credit_g,mlp,0.01,0.0011999999999999789
credit_g,mlp,0.05,0.006000000000000005
credit_g,mlp,0.1,0.01319999999999999
credit_g,mlp,0.25,0.03300000000000003
credit_g,mlp,0.5,0.059599999999999986
credit_g,rf,0.0,0.0
credit_g,rf,0.01,0.0008000000000000229
credit_g,rf,0.05,0.0018000000000000238
credit_g,rf,0.1,0.0048000000000000265
credit_g,rf,0.25,0.01100000000000001
credit_g,rf,0.5,0.021399999999999975
electricity,hgb,0.0,0.0
electricity,hgb,0.01,0.10319999999999996
electricity,hgb,0.05,0.1784
electricity,hgb,0.1,0.22460000000000002
electricity,hgb,0.25,0.2862
electricity,hgb,0.5,0.3226
electricity,logreg,0.0,0.0
electricity,logreg,0.01,0.0020000000000000018
electricity,logreg,0.05,0.011800000000000033
electricity,logreg,0.1,0.027800000000000047
electricity,logreg,0.25,0.07720000000000005
electricity,logreg,0.5,0.16800000000000004
electricity,mlp,0.0,0.0
electricity,mlp,0.01,0.0008000000000000229
electricity,mlp,0.05,0.018399999999999972
electricity,mlp,0.1,0.036800000000000055
electricity,mlp,0.25,0.08479999999999999
electricity,mlp,0.5,0.17059999999999997
electricity,rf,0.0,0.0
electricity,rf,0.01,0.02400000000000002
electricity,rf,0.05,0.06899999999999995
electricity,rf,0.1,0.11780000000000002
electricity,rf,0.25,0.2006
electricity,rf,0.5,0.26359999999999995
