ds,model,seed,variant,acc,auc,ece,fit_time
adult,logreg,0,clean,0.8442222222222221,0.9058741082724491,0.020475873955992003,0.34
adult,logreg,0,spur,0.728444444444444,0.692415364540209,0.20007414552910902,0.15
adult,logreg,1,clean,0.8442222222222221,0.9058741082724491,0.020475873955992003,0.23
adult,logreg,1,spur,0.728444444444444,0.692415364540209,0.20007414552910902,0.11
adult,logreg,2,clean,0.8442222222222221,0.9058741082724491,0.020475873955992003,0.22
adult,logreg,2,spur,0.728444444444444,0.692415364540209,0.20007414552910902,0.12
adult,logreg,3,clean,0.8442222222222221,0.9058741082724491,0.020475873955992003,0.23
adult,logreg,3,spur,0.728444444444444,0.692415364540209,0.20007414552910902,0.13
adult,logreg,4,clean,0.8442222222222221,0.9058741082724491,0.020475873955992003,0.23
adult,logreg,4,spur,0.728444444444444,0.692415364540209,0.20007414552910902,0.12
adult,rf,0,clean,0.846888888888888,0.9064893257645501,0.041084496042214,0.92
adult,rf,0,spur,0.758,0.80023819144074,0.072656748033553,1.2
adult,rf,1,clean,0.847333333333333,0.9057544826489851,0.041952616840971006,1.33
adult,rf,1,spur,0.7691111111111111,0.809688218267084,0.070611041070234,1.13
adult,rf,2,clean,0.846888888888888,0.9068611852607451,0.042762324976767005,1.1
adult,rf,2,spur,0.774,0.812778215683806,0.05546446384671701,1.37
adult,rf,3,clean,0.845333333333333,0.9066020626477931,0.039945512375118,1.1
adult,rf,3,spur,0.772222222222222,0.808897205423558,0.06995947130226701,1.25
adult,rf,4,clean,0.846888888888888,0.9061689993442441,0.043437191160566005,1.29
adult,rf,4,spur,0.7591111111111111,0.7966205430181951,0.083172676120389,1.25
adult,hgb,0,clean,0.864666666666666,0.923839412867371,0.023872821039419,48.1
adult,hgb,0,spur,0.7164444444444441,0.681040597200786,0.22219965155727803,9.44
adult,hgb,1,clean,0.8682222222222221,0.9235836021487571,0.010434764352519001,8.93
adult,hgb,1,spur,0.7224444444444441,0.697294844705274,0.22552840715145503,8.09
adult,hgb,2,clean,0.8642222222222221,0.9240059349146521,0.014973417580630002,21.42
adult,hgb,2,spur,0.725333333333333,0.706208742076292,0.22051355861535502,18.45
adult,hgb,3,clean,0.8655555555555551,0.9231420603957051,0.013445106896118001,7.78
