dataset,model,method,seed,variant,truth_type,source,ap,precision_at_1,precision_at_3,precision_at_5,recall_at_5,recall_at_10,target_rank,target_top1,target_top3,target_top5,target_salience_share
adult,logreg,linshap,0,clean,descriptive_top5,real,0.4524891774891775,0.0,0.6666666666666666,0.4,0.4,0.6,,,,,
adult,logreg,linshap,0,clean,descriptive_top5,random,0.525974025974026,1.0,0.6666666666666666,0.4,0.4,0.4,,,,,
adult,logreg,linshap,0,clean,descriptive_top5,permuted,0.3965367965367965,0.0,0.3333333333333333,0.2,0.2,0.6,,,,,
adult,logreg,linshap,0,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,linshap,0,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,linshap,1,clean,descriptive_top5,real,0.4524891774891775,0.0,0.6666666666666666,0.4,0.4,0.6,,,,,
adult,logreg,linshap,1,clean,descriptive_top5,random,0.800909090909091,1.0,0.6666666666666666,0.8,0.8,0.8,,,,,
adult,logreg,linshap,1,clean,descriptive_top5,permuted,0.46571428571428575,0.0,0.3333333333333333,0.4,0.4,1.0,,,,,
adult,logreg,linshap,1,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,linshap,1,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,linshap,2,clean,descriptive_top5,real,0.4524891774891775,0.0,0.6666666666666666,0.4,0.4,0.6,,,,,
adult,logreg,linshap,2,clean,descriptive_top5,random,0.3163003663003663,0.0,0.0,0.2,0.2,0.6,,,,,
adult,logreg,linshap,2,clean,descriptive_top5,permuted,0.7644444444444445,1.0,0.6666666666666666,0.6,0.6,1.0,,,,,
adult,logreg,linshap,2,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,linshap,2,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,linshap,3,clean,descriptive_top5,real,0.4524891774891775,0.0,0.6666666666666666,0.4,0.4,0.6,,,,,
adult,logreg,linshap,3,clean,descriptive_top5,random,0.6093939393939394,1.0,0.6666666666666666,0.6,0.6,0.6,,,,,
adult,logreg,linshap,3,clean,descriptive_top5,permuted,0.23933066933066932,0.0,0.0,0.0,0.0,0.2,,,,,
adult,logreg,linshap,3,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,linshap,3,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,linshap,4,clean,descriptive_top5,real,0.4524891774891775,0.0,0.6666666666666666,0.4,0.4,0.6,,,,,
adult,logreg,linshap,4,clean,descriptive_top5,random,0.28195693195693194,0.0,0.0,0.2,0.2,0.4,,,,,
adult,logreg,linshap,4,clean,descriptive_top5,permuted,0.432967032967033,0.0,0.3333333333333333,0.4,0.4,0.6,,,,,
adult,logreg,linshap,4,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,linshap,4,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,logreg,linshap,0,spur,spurious_feature,real,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.5028467948652813
adult,logreg,linshap,0,spur,spurious_feature,random,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.019543962637181875
adult,logreg,linshap,0,spur,spurious_feature,permuted,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.05593230752210953
adult,logreg,linshap,0,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
adult,logreg,linshap,0,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,logreg,linshap,1,spur,spurious_feature,real,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.5028467948652813
adult,logreg,linshap,1,spur,spurious_feature,random,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.035525250943127154
adult,logreg,linshap,1,spur,spurious_feature,permuted,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.05593230752210952
adult,logreg,linshap,1,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
adult,logreg,linshap,1,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,logreg,linshap,2,spur,spurious_feature,real,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.5028467948652813
adult,logreg,linshap,2,spur,spurious_feature,random,0.25,0.0,0.0,0.2,1.0,1.0,4.0,0.0,0.0,1.0,0.08906956720472257
adult,logreg,linshap,2,spur,spurious_feature,permuted,0.5,0.0,0.3333333333333333,0.2,1.0,1.0,2.0,0.0,1.0,1.0,0.10248755333411211
