variant,source,ap_mean,p_at_5,recall_at_5,target_top5,n
clean,constant,0.35240683229813663,1.0,1.0,,225
clean,oracle,1.0,1.0,1.0,,225
clean,permuted,0.4647257254350986,0.35555555555555557,0.35555555555555557,,225
clean,random,0.4571542827519585,0.3582222222222223,0.3582222222222223,,225
clean,real,0.46756297931506346,0.3724444444444444,0.3724444444444444,,225
spur,constant,0.06517740429505135,0.0,0.0,0.0,200
spur,oracle,1.0,0.2,1.0,1.0,200
spur,permuted,0.20293185792330193,0.054000000000000006,0.27,0.27,200
spur,random,0.1965324532624388,0.07,0.35,0.35,200
spur,real,0.9408333333333333,0.2,1.0,1.0,200
