dataset,model,method,variant,source,seed_a,seed_b,top3,top5,spearman,cosine,sign5
adult,logreg,linshap,clean,real,0,1,1.0,1.0,1.0,1.0,1.0
adult,logreg,linshap,clean,real,0,2,1.0,1.0,1.0,1.0,1.0
adult,logreg,linshap,clean,real,0,3,1.0,1.0,1.0,1.0,1.0
adult,logreg,linshap,clean,real,0,4,1.0,1.0,1.0,1.0,1.0
adult,logreg,linshap,clean,real,1,2,1.0,1.0,1.0,1.0,1.0
adult,logreg,linshap,clean,real,1,3,1.0,1.0,1.0,1.0,1.0
adult,logreg,linshap,clean,real,1,4,1.0,1.0,1.0,1.0,1.0
adult,logreg,linshap,clean,real,2,3,1.0,1.0,1.0,1.0,1.0
adult,logreg,linshap,clean,real,2,4,1.0,1.0,1.0,1.0,1.0
adult,logreg,linshap,clean,real,3,4,1.0,1.0,1.0,1.0,1.0
adult,logreg,linshap,clean,random,0,1,0.3333333333333333,0.2,0.03736263736263736,0.6589805258922427,1.0
adult,logreg,linshap,clean,random,0,2,0.3333333333333333,0.4,0.054945054945054944,0.7378147569341078,1.0
adult,logreg,linshap,clean,random,0,3,0.3333333333333333,0.6,0.14285714285714285,0.7541511712522408,1.0
adult,logreg,linshap,clean,random,0,4,0.3333333333333333,0.4,-0.12967032967032965,0.68963606154135,1.0
adult,logreg,linshap,clean,random,1,2,0.3333333333333333,0.2,0.1252747252747253,0.8019107354775571,1.0
adult,logreg,linshap,clean,random,1,3,0.3333333333333333,0.4,-0.04175824175824176,0.7655923456736546,1.0
adult,logreg,linshap,clean,random,1,4,0.0,0.4,-0.006593406593406593,0.7771462847193872,1.0
adult,logreg,linshap,clean,random,2,3,0.3333333333333333,0.2,-0.16043956043956045,0.7288123609570067,1.0
adult,logreg,linshap,clean,random,2,4,0.0,0.2,0.12087912087912088,0.7745907547247461,1.0
adult,logreg,linshap,clean,random,3,4,0.0,0.6,0.02417582417582418,0.7690709409827046,1.0
adult,logreg,linshap,clean,permuted,0,1,0.3333333333333333,0.4,0.14285714285714285,0.703888725038287,1.0
adult,logreg,linshap,clean,permuted,0,2,0.0,0.4,-0.16043956043956045,0.5273516833186316,1.0
adult,logreg,linshap,clean,permuted,0,3,0.0,0.2,-0.3054945054945055,0.45113982396620805,1.0
adult,logreg,linshap,clean,permuted,0,4,0.0,0.0,-0.43736263736263736,0.3890850513137318,1.0
adult,logreg,linshap,clean,permuted,1,2,0.3333333333333333,0.4,-0.03736263736263736,0.6040055578548783,1.0
adult,logreg,linshap,clean,permuted,1,3,0.0,0.2,-0.2351648351648352,0.4474865976073296,1.0
adult,logreg,linshap,clean,permuted,1,4,0.0,0.0,-0.16043956043956045,0.4522154020713736,1.0
adult,logreg,linshap,clean,permuted,2,3,0.3333333333333333,0.4,0.2175824175824176,0.622469383720576,1.0
adult,logreg,linshap,clean,permuted,2,4,0.0,0.2,-0.02417582417582418,0.5168873580276249,1.0
adult,logreg,linshap,clean,permuted,3,4,0.3333333333333333,0.6,0.26153846153846155,0.6991325234596255,1.0
adult,logreg,linshap,clean,constant,0,1,1.0,1.0,0.0,1.0,1.0
adult,logreg,linshap,clean,constant,0,2,1.0,1.0,0.0,1.0,1.0
adult,logreg,linshap,clean,constant,0,3,1.0,1.0,0.0,1.0,1.0
adult,logreg,linshap,clean,constant,0,4,1.0,1.0,0.0,1.0,1.0
adult,logreg,linshap,clean,constant,1,2,1.0,1.0,0.0,1.0,1.0
adult,logreg,linshap,clean,constant,1,3,1.0,1.0,0.0,1.0,1.0
adult,logreg,linshap,clean,constant,1,4,1.0,1.0,0.0,1.0,1.0
adult,logreg,linshap,clean,constant,2,3,1.0,1.0,0.0,1.0,1.0
adult,logreg,linshap,clean,constant,2,4,1.0,1.0,0.0,1.0,1.0
adult,logreg,linshap,clean,constant,3,4,1.0,1.0,0.0,1.0,1.0
adult,logreg,linshap,clean,oracle,0,1,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,clean,oracle,0,2,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,clean,oracle,0,3,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,clean,oracle,0,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,clean,oracle,1,2,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,clean,oracle,1,3,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,clean,oracle,1,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,clean,oracle,2,3,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,clean,oracle,2,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,clean,oracle,3,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,spur,real,0,1,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,spur,real,0,2,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,spur,real,0,3,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,spur,real,0,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,spur,real,1,2,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,spur,real,1,3,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,spur,real,1,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,spur,real,2,3,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,spur,real,2,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,spur,real,3,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,linshap,spur,random,0,1,0.0,0.0,-0.5678571428571427,0.5956691032258056,1.0
adult,logreg,linshap,spur,random,0,2,0.0,0.0,-0.11071428571428568,0.7645888757589752,1.0
adult,logreg,linshap,spur,random,0,3,0.0,0.0,-0.2714285714285714,0.6890011232646999,1.0
adult,logreg,linshap,spur,random,0,4,0.3333333333333333,0.2,0.4142857142857142,0.8767406044040766,1.0
adult,logreg,linshap,spur,random,1,2,0.3333333333333333,0.4,-0.10714285714285714,0.6955840421651539,1.0
adult,logreg,linshap,spur,random,1,3,0.3333333333333333,0.6,0.3321428571428571,0.8299212291277164,1.0
adult,logreg,linshap,spur,random,1,4,0.3333333333333333,0.6,0.05357142857142857,0.8179807921617304,1.0
adult,logreg,linshap,spur,random,2,3,0.3333333333333333,0.6,0.21071428571428572,0.8121638886000327,1.0
adult,logreg,linshap,spur,random,2,4,0.3333333333333333,0.4,-0.21071428571428572,0.7724184740663265,1.0
adult,logreg,linshap,spur,random,3,4,0.3333333333333333,0.4,-0.014285714285714282,0.7957142556307577,1.0
adult,logreg,linshap,spur,permuted,0,1,0.3333333333333333,0.2,-0.07142857142857141,0.21389187598600604,1.0
adult,logreg,linshap,spur,permuted,0,2,0.0,0.2,-0.06071428571428571,0.16514397662433203,1.0
adult,logreg,linshap,spur,permuted,0,3,0.3333333333333333,0.4,-0.25,0.09017299619683844,1.0
adult,logreg,linshap,spur,permuted,0,4,0.3333333333333333,0.4,-0.04642857142857142,0.20463568572517898,1.0
adult,logreg,linshap,spur,permuted,1,2,0.3333333333333333,0.6,0.1964285714285714,0.19622641039648248,1.0
