model,variant,budget,seconds_per_instance,fast_top5,fast_cosine,spurious_top5,n
hgb,clean,250,0.0340173374999722,0.528,0.5592111003856752,,10
hgb,clean,1000,0.0574172899999212,0.5780000000000001,0.614154166536546,,10
hgb,clean,3000,0.13912445500000103,0.6,0.6289613207225485,,10
hgb,spur,250,0.03252268249989356,0.425,0.5324653970276567,1.0,10
hgb,spur,1000,0.05032055249994301,0.471,0.6173980732139779,1.0,10
hgb,spur,3000,0.1196189700001014,0.5330000000000001,0.6485331907803485,1.0,10
logreg,clean,250,0.032256930000039576,0.5589999999999999,0.6710114630195447,,10
logreg,clean,1000,0.053534572500029756,0.616,0.769793477320382,,10
logreg,clean,3000,0.0992538974999661,0.652,0.7807415266738189,,10
logreg,spur,250,0.041999769999983984,0.476,0.5418218500969338,1.0,10
logreg,spur,1000,0.05529761500001769,0.525,0.6071252965469794,1.0,10
logreg,spur,3000,0.10541522249995978,0.562,0.6446718509468352,1.0,10
rf,clean,250,0.12864019999997253,0.638,0.6745916389523814,,10
rf,clean,1000,0.12830178000003797,0.679,0.7084289183745633,,10
rf,clean,3000,0.19296690000001038,0.6970000000000001,0.7180541856296401,,10
rf,spur,250,0.10618006500008051,0.48200000000000004,0.5710810785429892,1.0,10
rf,spur,1000,0.14550628999995752,0.528,0.6398405614312136,1.0,10
rf,spur,3000,0.1783754074999706,0.5890000000000001,0.6694629443727135,1.0,10
