dataset,model,seed,explainer,train_wall_seconds,explain_wall_seconds,accuracy,auc,source,ap,precision_at_1,precision_at_3,precision_at_5,recall_at_5,recall_at_10
synthetic_known_features,logreg,0,coefficient_abs,0.053902399999060435,1.3799999578623101e-05,0.9028571428571428,0.9620715759394809,real,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,logreg,0,coefficient_abs,0.053902399999060435,1.3799999578623101e-05,0.9028571428571428,0.9620715759394809,random,0.5372545948203842,0.0,0.6666666666666666,0.6,0.375,0.625
synthetic_known_features,logreg,0,coefficient_abs,0.053902399999060435,1.3799999578623101e-05,0.9028571428571428,0.9620715759394809,permuted,0.41572075692625227,0.0,0.3333333333333333,0.4,0.25,0.5
synthetic_known_features,logreg,0,coefficient_abs,0.053902399999060435,1.3799999578623101e-05,0.9028571428571428,0.9620715759394809,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,logreg,0,coefficient_abs,0.053902399999060435,1.3799999578623101e-05,0.9028571428571428,0.9620715759394809,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,rf,0,gini_importance,0.675698499999271,0.0748526999996102,0.953469387755102,0.9879222932449073,real,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,rf,0,gini_importance,0.675698499999271,0.0748526999996102,0.953469387755102,0.9879222932449073,random,0.378466162105868,0.0,0.0,0.2,0.125,0.5
synthetic_known_features,rf,0,gini_importance,0.675698499999271,0.0748526999996102,0.953469387755102,0.9879222932449073,permuted,0.39927637721755366,0.0,0.3333333333333333,0.6,0.375,0.375
synthetic_known_features,rf,0,gini_importance,0.675698499999271,0.0748526999996102,0.953469387755102,0.9879222932449073,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,rf,0,gini_importance,0.675698499999271,0.0748526999996102,0.953469387755102,0.9879222932449073,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,hgb,0,permutation_auc_drop,0.4592272000008961,1.2024010999994061,0.9624489795918367,0.988893894240765,real,0.925,1.0,1.0,1.0,0.625,0.875
synthetic_known_features,hgb,0,permutation_auc_drop,0.4592272000008961,1.2024010999994061,0.9624489795918367,0.988893894240765,random,0.41589937839937846,0.0,0.3333333333333333,0.4,0.25,0.5
synthetic_known_features,hgb,0,permutation_auc_drop,0.4592272000008961,1.2024010999994061,0.9624489795918367,0.988893894240765,permuted,0.48993055555555554,1.0,0.3333333333333333,0.4,0.25,0.5
synthetic_known_features,hgb,0,permutation_auc_drop,0.4592272000008961,1.2024010999994061,0.9624489795918367,0.988893894240765,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,hgb,0,permutation_auc_drop,0.4592272000008961,1.2024010999994061,0.9624489795918367,0.988893894240765,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,mlp,0,gradient_abs,0.5737019000007422,0.00035569999818108045,0.9583673469387755,0.9866881334065477,real,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,mlp,0,gradient_abs,0.5737019000007422,0.00035569999818108045,0.9583673469387755,0.9866881334065477,random,0.4542483660130719,0.0,0.3333333333333333,0.4,0.25,0.625
synthetic_known_features,mlp,0,gradient_abs,0.5737019000007422,0.00035569999818108045,0.9583673469387755,0.9866881334065477,permuted,0.45848529695278917,1.0,0.3333333333333333,0.2,0.125,0.5
synthetic_known_features,mlp,0,gradient_abs,0.5737019000007422,0.00035569999818108045,0.9583673469387755,0.9866881334065477,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,mlp,0,gradient_abs,0.5737019000007422,0.00035569999818108045,0.9583673469387755,0.9866881334065477,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,logreg,1,coefficient_abs,0.008619399999588495,1.1100000847363845e-05,0.7983673469387755,0.8664708359766923,real,0.9305555555555556,1.0,1.0,1.0,0.625,0.875
synthetic_known_features,logreg,1,coefficient_abs,0.008619399999588495,1.1100000847363845e-05,0.7983673469387755,0.8664708359766923,random,0.3686011904761905,0.0,0.0,0.2,0.125,0.5
synthetic_known_features,logreg,1,coefficient_abs,0.008619399999588495,1.1100000847363845e-05,0.7983673469387755,0.8664708359766923,permuted,0.5069765406162465,1.0,0.6666666666666666,0.4,0.25,0.25
synthetic_known_features,logreg,1,coefficient_abs,0.008619399999588495,1.1100000847363845e-05,0.7983673469387755,0.8664708359766923,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,logreg,1,coefficient_abs,0.008619399999588495,1.1100000847363845e-05,0.7983673469387755,0.8664708359766923,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,rf,1,gini_importance,0.7324934999996913,0.08502930000031483,0.8946938775510204,0.9505643015934789,real,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,rf,1,gini_importance,0.7324934999996913,0.08502930000031483,0.8946938775510204,0.9505643015934789,random,0.423015873015873,0.0,0.0,0.2,0.125,0.625
synthetic_known_features,rf,1,gini_importance,0.7324934999996913,0.08502930000031483,0.8946938775510204,0.9505643015934789,permuted,0.35950875266374493,0.0,0.0,0.4,0.25,0.375
synthetic_known_features,rf,1,gini_importance,0.7324934999996913,0.08502930000031483,0.8946938775510204,0.9505643015934789,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,rf,1,gini_importance,0.7324934999996913,0.08502930000031483,0.8946938775510204,0.9505643015934789,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,hgb,1,permutation_auc_drop,0.46955139999772655,1.1289528999986942,0.916734693877551,0.9608827308252078,real,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,hgb,1,permutation_auc_drop,0.46955139999772655,1.1289528999986942,0.916734693877551,0.9608827308252078,random,0.4675213675213675,0.0,0.6666666666666666,0.6,0.375,0.5
synthetic_known_features,hgb,1,permutation_auc_drop,0.46955139999772655,1.1289528999986942,0.916734693877551,0.9608827308252078,permuted,0.4619047619047619,0.0,0.6666666666666666,0.4,0.25,0.5
synthetic_known_features,hgb,1,permutation_auc_drop,0.46955139999772655,1.1289528999986942,0.916734693877551,0.9608827308252078,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,hgb,1,permutation_auc_drop,0.46955139999772655,1.1289528999986942,0.916734693877551,0.9608827308252078,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,mlp,1,gradient_abs,0.34560229999988223,0.0006236999979591928,0.8579591836734693,0.933123463964132,real,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,mlp,1,gradient_abs,0.34560229999988223,0.0006236999979591928,0.8579591836734693,0.933123463964132,random,0.6645050125313283,1.0,0.6666666666666666,0.6,0.375,0.75
