model,source,ap,p_at_5,recall_at_10,train_wall,explain_wall,n
hgb,constant,0.4,1.0,1.0,0.4518458999991708,1.0995435799995903,5
hgb,oracle,1.0,1.0,1.0,0.4518458999991708,1.0995435799995903,5
hgb,permuted,0.4451587301587302,0.28,0.45,0.4518458999991708,1.0995435799995903,5
hgb,random,0.5315373207159197,0.52,0.55,0.4518458999991708,1.0995435799995903,5
hgb,real,0.9742857142857144,1.0,0.95,0.4518458999991708,1.0995435799995903,5
logreg,constant,0.4,1.0,1.0,0.01565285999968182,9.419999696547165e-06,5
logreg,oracle,1.0,1.0,1.0,0.01565285999968182,9.419999696547165e-06,5
logreg,permuted,0.5256428738530132,0.44000000000000006,0.425,0.01565285999968182,9.419999696547165e-06,5
logreg,random,0.5192286224697215,0.52,0.6,0.01565285999968182,9.419999696547165e-06,5
logreg,real,0.9132726423902895,0.96,0.85,0.01565285999968182,9.419999696547165e-06,5
mlp,constant,0.4,1.0,1.0,0.39696774000040025,0.0004712799986009486,5
mlp,oracle,1.0,1.0,1.0,0.39696774000040025,0.0004712799986009486,5
mlp,permuted,0.4616677019231199,0.32,0.5,0.39696774000040025,0.0004712799986009486,5
mlp,random,0.4759030411023445,0.4,0.525,0.39696774000040025,0.0004712799986009486,5
mlp,real,1.0,1.0,1.0,0.39696774000040025,0.0004712799986009486,5
rf,constant,0.4,1.0,1.0,0.6074166400001559,0.0882571399997687,5
rf,oracle,1.0,1.0,1.0,0.6074166400001559,0.0882571399997687,5
rf,permuted,0.47027478659541355,0.52,0.375,0.6074166400001559,0.0882571399997687,5
rf,random,0.43197052775226147,0.28,0.475,0.6074166400001559,0.0882571399997687,5
rf,real,1.0,1.0,1.0,0.6074166400001559,0.0882571399997687,5
