target,source,dataset,model,method,seed,ap,precision_at_5,recall_at_5
positional,real,adult,logreg,linshap,0,0.4524891774891775,0.4,0.4
positional,random,adult,logreg,linshap,0,0.525974025974026,0.4,0.4
positional,permuted,adult,logreg,linshap,0,0.3965367965367965,0.2,0.2
positional,constant,adult,logreg,linshap,0,0.35714285714285715,1.0,1.0
positional,oracle,adult,logreg,linshap,0,1.0,1.0,1.0
random,real,adult,logreg,linshap,0,0.3393073593073593,0.4,0.4
random,random,adult,logreg,linshap,0,0.36272727272727273,0.4,0.4
random,permuted,adult,logreg,linshap,0,0.37380952380952376,0.2,0.2
random,constant,adult,logreg,linshap,0,0.35714285714285715,0.6,0.6
random,oracle,adult,logreg,linshap,0,1.0,1.0,1.0
self_top5,real,adult,logreg,linshap,0,1.0,1.0,1.0
self_top5,random,adult,logreg,linshap,0,0.539047619047619,0.6,0.6
self_top5,permuted,adult,logreg,linshap,0,0.7642857142857142,0.6,0.6
self_top5,constant,adult,logreg,linshap,0,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,logreg,linshap,0,1.0,1.0,1.0
loso_top5,real,adult,logreg,linshap,0,1.0,1.0,1.0
loso_top5,random,adult,logreg,linshap,0,0.539047619047619,0.6,0.6
loso_top5,permuted,adult,logreg,linshap,0,0.7642857142857142,0.6,0.6
loso_top5,constant,adult,logreg,linshap,0,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,logreg,linshap,0,1.0,1.0,1.0
positional,real,adult,logreg,linshap,1,0.4524891774891775,0.4,0.4
positional,random,adult,logreg,linshap,1,0.800909090909091,0.8,0.8
positional,permuted,adult,logreg,linshap,1,0.46571428571428575,0.4,0.4
positional,constant,adult,logreg,linshap,1,0.35714285714285715,1.0,1.0
positional,oracle,adult,logreg,linshap,1,1.0,1.0,1.0
random,real,adult,logreg,linshap,1,0.3393073593073593,0.4,0.4
random,random,adult,logreg,linshap,1,0.4922222222222221,0.6,0.6
random,permuted,adult,logreg,linshap,1,0.3607326007326007,0.2,0.2
random,constant,adult,logreg,linshap,1,0.35714285714285715,0.6,0.6
random,oracle,adult,logreg,linshap,1,1.0,1.0,1.0
self_top5,real,adult,logreg,linshap,1,1.0,1.0,1.0
self_top5,random,adult,logreg,linshap,1,0.44939393939393935,0.4,0.4
self_top5,permuted,adult,logreg,linshap,1,0.676060606060606,0.6,0.6
self_top5,constant,adult,logreg,linshap,1,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,logreg,linshap,1,1.0,1.0,1.0
loso_top5,real,adult,logreg,linshap,1,1.0,1.0,1.0
loso_top5,random,adult,logreg,linshap,1,0.44939393939393935,0.4,0.4
loso_top5,permuted,adult,logreg,linshap,1,0.676060606060606,0.6,0.6
loso_top5,constant,adult,logreg,linshap,1,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,logreg,linshap,1,1.0,1.0,1.0
positional,real,adult,logreg,linshap,2,0.4524891774891775,0.4,0.4
positional,random,adult,logreg,linshap,2,0.3163003663003663,0.2,0.2
positional,permuted,adult,logreg,linshap,2,0.7644444444444445,0.6,0.6
positional,constant,adult,logreg,linshap,2,0.35714285714285715,1.0,1.0
positional,oracle,adult,logreg,linshap,2,1.0,1.0,1.0
random,real,adult,logreg,linshap,2,0.3393073593073593,0.4,0.4
random,random,adult,logreg,linshap,2,0.5111111111111111,0.4,0.4
random,permuted,adult,logreg,linshap,2,0.8083333333333333,0.6,0.6
random,constant,adult,logreg,linshap,2,0.35714285714285715,0.6,0.6
random,oracle,adult,logreg,linshap,2,1.0,1.0,1.0
self_top5,real,adult,logreg,linshap,2,1.0,1.0,1.0
self_top5,random,adult,logreg,linshap,2,0.46025641025641023,0.2,0.2
self_top5,permuted,adult,logreg,linshap,2,0.4555555555555555,0.4,0.4
self_top5,constant,adult,logreg,linshap,2,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,logreg,linshap,2,1.0,1.0,1.0
loso_top5,real,adult,logreg,linshap,2,1.0,1.0,1.0
loso_top5,random,adult,logreg,linshap,2,0.46025641025641023,0.2,0.2
loso_top5,permuted,adult,logreg,linshap,2,0.4555555555555555,0.4,0.4
loso_top5,constant,adult,logreg,linshap,2,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,logreg,linshap,2,1.0,1.0,1.0
positional,real,adult,logreg,linshap,3,0.4524891774891775,0.4,0.4
positional,random,adult,logreg,linshap,3,0.6093939393939394,0.6,0.6
positional,permuted,adult,logreg,linshap,3,0.23933066933066932,0.0,0.0
positional,constant,adult,logreg,linshap,3,0.35714285714285715,1.0,1.0
positional,oracle,adult,logreg,linshap,3,1.0,1.0,1.0
random,real,adult,logreg,linshap,3,0.3393073593073593,0.4,0.4
random,random,adult,logreg,linshap,3,0.663131313131313,0.6,0.6
random,permuted,adult,logreg,linshap,3,0.3327272727272727,0.2,0.2
random,constant,adult,logreg,linshap,3,0.35714285714285715,0.6,0.6
random,oracle,adult,logreg,linshap,3,1.0,1.0,1.0
self_top5,real,adult,logreg,linshap,3,1.0,1.0,1.0
self_top5,random,adult,logreg,linshap,3,0.37415584415584413,0.4,0.4
self_top5,permuted,adult,logreg,linshap,3,0.3602564102564102,0.2,0.2
self_top5,constant,adult,logreg,linshap,3,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,logreg,linshap,3,1.0,1.0,1.0
loso_top5,real,adult,logreg,linshap,3,1.0,1.0,1.0
loso_top5,random,adult,logreg,linshap,3,0.37415584415584413,0.4,0.4
loso_top5,permuted,adult,logreg,linshap,3,0.3602564102564102,0.2,0.2
loso_top5,constant,adult,logreg,linshap,3,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,logreg,linshap,3,1.0,1.0,1.0
positional,real,adult,logreg,linshap,4,0.4524891774891775,0.4,0.4
positional,random,adult,logreg,linshap,4,0.28195693195693194,0.2,0.2
