target,source,ap_mean,p_at_5,recall_at_5,n
loso_top5,constant,0.35240683229813663,0.37333333333333335,0.37333333333333335,225
loso_top5,oracle,1.0,1.0,1.0,225
loso_top5,permuted,0.46345615881503616,0.33866666666666667,0.33866666666666667,225
loso_top5,random,0.4576841710315529,0.3528888888888889,0.3528888888888889,225
loso_top5,real,0.9733062677337186,0.928,0.928,225
positional,constant,0.35240683229813663,1.0,1.0,225
positional,oracle,1.0,1.0,1.0,225
positional,permuted,0.43936806560640634,0.33866666666666667,0.33866666666666667,225
positional,random,0.47508997250620166,0.3706666666666667,0.3706666666666667,225
positional,real,0.46756297931506346,0.3724444444444444,0.3724444444444444,225
random,constant,0.35240683229813663,0.37333333333333335,0.37333333333333335,225
random,oracle,1.0,1.0,1.0,225
random,permuted,0.477669890614181,0.37333333333333335,0.37333333333333335,225
random,random,0.44984076270468787,0.35733333333333334,0.35733333333333334,225
random,real,0.47158916786289246,0.3617777777777778,0.3617777777777778,225
self_top5,constant,0.35240683229813663,0.3724444444444444,0.3724444444444444,225
self_top5,oracle,1.0,1.0,1.0,225
self_top5,permuted,0.46569231057567756,0.3422222222222222,0.3422222222222222,225
self_top5,random,0.4572158374980289,0.3502222222222222,0.3502222222222222,225
self_top5,real,1.0,1.0,1.0,225
